service,delta,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
CV,86.0300064086914,25,720,2024-06-13 17:14:09.829442,Laptop,84.9,82.53744006935149,24,0
CV,90.04521369934082,25,720,2024-06-13 17:14:09.933070,Laptop,85.5,82.59110490590962,24,0
CV,87.3711109161377,25,720,2024-06-13 17:14:10.037322,Laptop,91.8,82.56540279096465,25,0
CV,92.95535087585449,25,720,2024-06-13 17:14:10.148188,Laptop,91.2,82.595122397108,25,0
CV,98.64187240600586,25,720,2024-06-13 17:14:10.266302,Laptop,96.9,82.58306992351287,25,0
CV,117.81692504882812,25,720,2024-06-13 17:14:10.414103,Laptop,83.0,82.62116851741553,24,0
CV,85.27135848999023,25,720,2024-06-13 17:14:10.523105,Laptop,83.7,82.59305836493269,24,0
CV,86.51041984558105,25,720,2024-06-13 17:14:10.632502,Laptop,86.5,82.55182686504965,24,0
CV,78.37939262390137,25,720,2024-06-13 17:14:10.730056,Laptop,83.1,82.5320711285145,24,0
CV,80.36327362060547,25,720,2024-06-13 17:14:10.827505,Laptop,83.8,82.55633579248024,24,0
CV,78.18341255187988,25,720,2024-06-13 17:14:10.924919,Laptop,82.5,82.52591588970598,24,0
CV,86.4558219909668,25,720,2024-06-13 17:14:11.029135,Laptop,86.9,82.55038941407041,24,0
CV,95.1089859008789,25,720,2024-06-13 17:14:11.139976,Laptop,87.1,82.523704426661,24,0
CV,96.65894508361816,25,720,2024-06-13 17:14:11.249181,Laptop,85.2,82.5664102352407,24,0
CV,82.29684829711914,25,720,2024-06-13 17:14:11.342764,Laptop,85.6,82.54487304236376,24,0
CV,88.55962753295898,25,720,2024-06-13 17:14:11.473309,Laptop,92.4,82.67686052843155,25,0
CV,110.96954345703125,25,720,2024-06-13 17:14:11.598145,Laptop,90.4,82.6659015004531,25,0
CV,102.67448425292969,25,720,2024-06-13 17:14:11.720788,Laptop,94.8,82.70465124736344,25,0
CV,150.88224411010742,25,720,2024-06-13 17:14:11.890452,Laptop,94.9,82.66515206019898,25,0
CV,96.88425064086914,25,720,2024-06-13 17:14:12.004372,Laptop,89.4,82.69805371594593,25,0
CV,107.26237297058105,25,720,2024-06-13 17:14:12.141673,Laptop,89.7,82.66520120382219,25,0
CV,95.91889381408691,25,720,2024-06-13 17:14:12.257748,Laptop,91.9,82.67762225459148,25,0
CV,104.0811538696289,25,720,2024-06-13 17:14:12.376490,Laptop,89.8,82.6462440511644,25,0
CV,102.38480567932129,25,720,2024-06-13 17:14:12.494277,Laptop,90.6,82.6767376693735,25,0
