service,ip,device_type,timestamp,expected,reality,evidence,v1,v2
QR-1,192.168.31.205,NX,2024-07-06 14:58:25.460777,0.9204392124682719,1.0,0.48956078753172816,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:25.967159,0.9204392124682719,1.0,0.5095607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:26.473883,0.9204392124682719,1.0,0.5295607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:26.980895,0.9204392124682719,1.0,0.5495607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:27.487892,0.9204392124682719,1.0,0.5695607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:27.994468,0.9204392124682719,1.0,0.5895607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:28.500691,0.9204392124682719,1.0,0.6195607875317282,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:29.008618,0.9204392124682719,1.0,0.6295607875317282,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:29.517613,0.9204392124682719,1.0,0.6495607875317282,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:30.024846,0.9204392124682719,1.0,0.6695607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:30.532501,0.9204392124682719,1.0,0.6895607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:31.040880,0.9204392124682719,1.0,0.7095607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:31.548195,0.9204392124682719,1.0,0.7295607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:32.055693,0.9204392124682719,1.0,0.7495607875317282,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:32.561463,0.9204392124682719,1.0,0.7695607875317282,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:33.069085,0.9204392124682719,1.0,0.7895607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:33.575550,0.9204392124682719,1.0,0.8095607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:34.081090,0.9204392124682719,1.0,0.8295607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:34.588672,0.9204392124682719,1.0,0.8595607875317282,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:35.096984,0.9204392124682719,1.0,0.8695607875317282,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:35.605867,0.9204392124682719,1.0,0.8895607875317282,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:36.113818,0.9204392124682719,1.0,0.9095607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:36.621692,0.9204392124682719,1.0,0.9295607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:37.129376,0.9204392124682719,1.0,0.9595607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:37.636486,0.9204392124682719,1.0,0.9695607875317281,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:38.145315,0.9204392124682719,1.0,0.9895607875317282,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:38.652466,0.9204392124682719,1.0,1.0195607875317283,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:39.848315,0.946030170075447,1.0,0.08396982992455301,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:40.357242,0.946030170075447,1.0,0.10396982992455302,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:40.865756,0.946030170075447,1.0,0.12396982992455301,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:41.373543,0.946030170075447,1.0,0.14396982992455304,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:41.880048,0.946030170075447,1.0,0.16396982992455303,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:42.387833,0.946030170075447,1.0,0.18396982992455302,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:43.488797,0.946030170075447,1.0,0.22396982992455303,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:44.592210,0.946030170075447,1.0,0.26396982992455303,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:45.806122,0.946030170075447,1.0,0.303969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:46.882783,0.946030170075447,1.0,0.34396982992455305,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:47.963231,0.946030170075447,1.0,0.39396982992455304,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:49.045549,0.946030170075447,1.0,0.433969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:50.200306,0.946030170075447,1.0,0.473969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:51.302364,0.946030170075447,1.0,0.513969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:53.089474,0.946030170075447,1.0,0.583969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:54.255220,0.946030170075447,1.0,0.6239698299245531,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:55.439329,0.946030170075447,1.0,0.673969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:56.538039,0.946030170075447,1.0,0.703969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:57.675484,0.946030170075447,1.0,0.7439698299245531,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:58.870308,0.946030170075447,1.0,0.783969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:58:59.999461,0.946030170075447,1.0,0.833969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:01.169860,0.946030170075447,1.0,0.8739698299245531,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:02.290450,0.946030170075447,1.0,0.913969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:03.412522,0.946030170075447,1.0,0.953969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:04.514126,0.946030170075447,1.0,0.9939698299245531,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:05.671624,0.946030170075447,1.0,1.033969829924553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:07.592448,0.9562414873894447,1.0,0.0937585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:08.728224,0.9562414873894447,1.0,0.1337585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:09.961515,0.9562414873894447,1.0,0.1737585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:11.213122,0.9562414873894447,1.0,0.22375851261055532,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:12.292420,0.9562414873894447,1.0,0.2637585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:13.371675,0.9562414873894447,1.0,0.3037585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:14.514520,0.9562414873894447,1.0,0.3437585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:15.755846,0.9562414873894447,1.0,0.3837585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:16.863923,0.9562414873894447,1.0,0.4337585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:18.035269,0.9562414873894447,1.0,0.4737585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:19.114036,0.9562414873894447,1.0,0.5137585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:20.279785,0.9562414873894447,1.0,0.5537585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:21.389251,0.9562414873894447,1.0,0.5937585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:22.557418,0.9562414873894447,1.0,0.6337585126105553,,
QR-1,192.168.31.205,NX,2024-07-06 14:59:23.801446,0.9562414873894447,1.0,0.6737585126105553,,
