service,ip,device_type,timestamp,cpu
CV,192.168.31.183,AGX,2024-07-05 12:19:08.588720,6.9
CV,192.168.31.183,AGX,2024-07-05 12:19:08.803491,5.2
CV,192.168.31.183,AGX,2024-07-05 12:19:09.022787,9.3
CV,192.168.31.183,AGX,2024-07-05 12:19:09.242544,6.3
CV,192.168.31.183,AGX,2024-07-05 12:19:09.462044,5.9
CV,192.168.31.183,AGX,2024-07-05 12:19:09.681563,6.3
CV,192.168.31.183,AGX,2024-07-05 12:19:09.900726,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:10.116190,10.0
CV,192.168.31.183,AGX,2024-07-05 12:19:10.330228,6.0
CV,192.168.31.183,AGX,2024-07-05 12:19:10.552717,5.8
CV,192.168.31.183,AGX,2024-07-05 12:19:10.772022,4.5
CV,192.168.31.183,AGX,2024-07-05 12:19:10.991020,7.4
CV,192.168.31.183,AGX,2024-07-05 12:19:11.210560,6.7
CV,192.168.31.183,AGX,2024-07-05 12:19:11.430198,5.4
CV,192.168.31.183,AGX,2024-07-05 12:19:11.649705,6.5
CV,192.168.31.183,AGX,2024-07-05 12:19:11.869121,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:12.085095,8.9
CV,192.168.31.183,AGX,2024-07-05 12:19:12.304153,5.8
CV,192.168.31.183,AGX,2024-07-05 12:19:12.523562,4.8
CV,192.168.31.183,AGX,2024-07-05 12:19:12.742876,5.4
CV,192.168.31.183,AGX,2024-07-05 12:19:12.960812,6.5
CV,192.168.31.183,AGX,2024-07-05 12:19:13.180148,7.6
CV,192.168.31.183,AGX,2024-07-05 12:19:13.403864,5.6
CV,192.168.31.183,AGX,2024-07-05 12:19:13.624839,6.6
CV,192.168.31.183,AGX,2024-07-05 12:19:13.843449,3.6
CV,192.168.31.183,AGX,2024-07-05 12:19:14.060524,8.1
CV,192.168.31.183,AGX,2024-07-05 12:19:14.279454,5.1
CV,192.168.31.183,AGX,2024-07-05 12:19:14.618605,20.4
CV,192.168.31.183,AGX,2024-07-05 12:19:14.833461,5.1
CV,192.168.31.183,AGX,2024-07-05 12:19:15.046904,8.8
CV,192.168.31.183,AGX,2024-07-05 12:19:15.267737,6.4
CV,192.168.31.183,AGX,2024-07-05 12:19:15.487421,4.9
CV,192.168.31.183,AGX,2024-07-05 12:19:15.701346,6.0
CV,192.168.31.183,AGX,2024-07-05 12:19:15.920831,5.9
CV,192.168.31.183,AGX,2024-07-05 12:19:16.140287,9.1
CV,192.168.31.183,AGX,2024-07-05 12:19:16.360127,6.7
CV,192.168.31.183,AGX,2024-07-05 12:19:16.579523,4.8
CV,192.168.31.183,AGX,2024-07-05 12:19:16.795099,5.4
CV,192.168.31.183,AGX,2024-07-05 12:19:17.015433,7.3
CV,192.168.31.183,AGX,2024-07-05 12:19:17.234772,6.0
CV,192.168.31.183,AGX,2024-07-05 12:19:17.451891,4.7
CV,192.168.31.183,AGX,2024-07-05 12:19:17.671093,5.0
CV,192.168.31.183,AGX,2024-07-05 12:19:17.890773,5.7
CV,192.168.31.183,AGX,2024-07-05 12:19:18.110148,9.7
CV,192.168.31.183,AGX,2024-07-05 12:19:18.326593,6.8
CV,192.168.31.183,AGX,2024-07-05 12:19:18.547530,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:18.768879,6.7
CV,192.168.31.183,AGX,2024-07-05 12:19:18.988601,8.0
CV,192.168.31.183,AGX,2024-07-05 12:19:19.208262,7.5
CV,192.168.31.183,AGX,2024-07-05 12:19:19.424241,6.7
CV,192.168.31.183,AGX,2024-07-05 12:19:19.643595,5.2
CV,192.168.31.183,AGX,2024-07-05 12:19:19.856798,6.8
CV,192.168.31.183,AGX,2024-07-05 12:19:20.071784,8.8
CV,192.168.31.183,AGX,2024-07-05 12:19:20.291091,6.4
CV,192.168.31.183,AGX,2024-07-05 12:19:20.510941,4.6
CV,192.168.31.183,AGX,2024-07-05 12:19:20.730207,6.1
CV,192.168.31.183,AGX,2024-07-05 12:19:20.948318,7.3
CV,192.168.31.183,AGX,2024-07-05 12:19:21.167635,8.0
CV,192.168.31.183,AGX,2024-07-05 12:19:21.387546,6.3
CV,192.168.31.183,AGX,2024-07-05 12:19:21.607139,6.3
CV,192.168.31.183,AGX,2024-07-05 12:19:21.827134,5.7
CV,192.168.31.183,AGX,2024-07-05 12:19:22.045319,9.5
CV,192.168.31.183,AGX,2024-07-05 12:19:22.265051,6.4
CV,192.168.31.183,AGX,2024-07-05 12:19:22.484608,6.8
CV,192.168.31.183,AGX,2024-07-05 12:19:22.704075,6.1
CV,192.168.31.183,AGX,2024-07-05 12:19:22.923684,5.0
CV,192.168.31.183,AGX,2024-07-05 12:19:23.140760,9.2
CV,192.168.31.183,AGX,2024-07-05 12:19:23.354508,5.8
CV,192.168.31.183,AGX,2024-07-05 12:19:23.573877,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:23.793243,5.0
CV,192.168.31.183,AGX,2024-07-05 12:19:24.013024,9.8
CV,192.168.31.183,AGX,2024-07-05 12:19:24.232468,6.5
CV,192.168.31.183,AGX,2024-07-05 12:19:24.452094,6.1
CV,192.168.31.183,AGX,2024-07-05 12:19:24.672230,6.1
CV,192.168.31.183,AGX,2024-07-05 12:19:24.891990,5.7
CV,192.168.31.183,AGX,2024-07-05 12:19:25.111480,10.9
CV,192.168.31.183,AGX,2024-07-05 12:19:25.330908,5.4
CV,192.168.31.183,AGX,2024-07-05 12:19:25.550709,5.0
CV,192.168.31.183,AGX,2024-07-05 12:19:25.770098,4.9
CV,192.168.31.183,AGX,2024-07-05 12:19:25.989363,8.8
CV,192.168.31.183,AGX,2024-07-05 12:19:26.209011,8.2
CV,192.168.31.183,AGX,2024-07-05 12:19:26.428462,6.3
CV,192.168.31.183,AGX,2024-07-05 12:19:26.648163,6.7
CV,192.168.31.183,AGX,2024-07-05 12:19:26.867739,6.0
CV,192.168.31.183,AGX,2024-07-05 12:19:27.084160,10.0
CV,192.168.31.183,AGX,2024-07-05 12:19:27.303830,7.2
CV,192.168.31.183,AGX,2024-07-05 12:19:27.523299,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:27.742722,5.2
CV,192.168.31.183,AGX,2024-07-05 12:19:27.962444,5.9
CV,192.168.31.183,AGX,2024-07-05 12:19:28.182037,8.1
CV,192.168.31.183,AGX,2024-07-05 12:19:28.401720,7.1
CV,192.168.31.183,AGX,2024-07-05 12:19:28.621458,6.0
CV,192.168.31.183,AGX,2024-07-05 12:19:28.843398,5.7
CV,192.168.31.183,AGX,2024-07-05 12:19:29.060352,9.1
CV,192.168.31.183,AGX,2024-07-05 12:19:29.279981,5.8
CV,192.168.31.183,AGX,2024-07-05 12:19:29.499627,6.4
CV,192.168.31.183,AGX,2024-07-05 12:19:29.719106,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:29.938832,6.5
CV,192.168.31.183,AGX,2024-07-05 12:19:30.158565,8.7
CV,192.168.31.183,AGX,2024-07-05 12:19:30.378138,6.6
CV,192.168.31.183,AGX,2024-07-05 12:19:30.597816,5.7
CV,192.168.31.183,AGX,2024-07-05 12:19:30.817561,5.7
CV,192.168.31.183,AGX,2024-07-05 12:19:31.030035,7.5
CV,192.168.31.183,AGX,2024-07-05 12:19:31.253518,8.2
CV,192.168.31.183,AGX,2024-07-05 12:19:31.467117,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:31.686119,6.6
CV,192.168.31.183,AGX,2024-07-05 12:19:31.900046,5.6
CV,192.168.31.183,AGX,2024-07-05 12:19:32.113961,8.5
CV,192.168.31.183,AGX,2024-07-05 12:19:32.333114,7.7
CV,192.168.31.183,AGX,2024-07-05 12:19:32.546659,5.0
CV,192.168.31.183,AGX,2024-07-05 12:19:32.762362,4.9
CV,192.168.31.183,AGX,2024-07-05 12:19:32.976630,6.3
CV,192.168.31.183,AGX,2024-07-05 12:19:33.191328,7.3
CV,192.168.31.183,AGX,2024-07-05 12:19:33.411147,6.9
CV,192.168.31.183,AGX,2024-07-05 12:19:33.630772,5.0
CV,192.168.31.183,AGX,2024-07-05 12:19:33.850507,5.3
CV,192.168.31.183,AGX,2024-07-05 12:19:34.063716,8.3
CV,192.168.31.183,AGX,2024-07-05 12:19:34.279404,6.5
